family,metric,label,higher_is_better,reference,n_paired,shipped__mean,shipped__ci_low,shipped__ci_high,shipped__se,shipped__n,shipped__diff_vs_ref,shipped__diff_ci_low,shipped__diff_ci_high,shipped__p,baseline__mean,baseline__ci_low,baseline__ci_high,baseline__se,baseline__n,baseline__diff_vs_ref,baseline__diff_ci_low,baseline__diff_ci_high,baseline__p,agentic-noval__mean,agentic-noval__ci_low,agentic-noval__ci_high,agentic-noval__se,agentic-noval__n,agentic-noval__diff_vs_ref,agentic-noval__diff_ci_low,agentic-noval__diff_ci_high,agentic-noval__p,agentic__mean,agentic__ci_low,agentic__ci_high,agentic__se,agentic__n,agentic__diff_vs_ref,agentic__diff_ci_low,agentic__diff_ci_high,agentic__p,shipped__q,agentic-noval__q,agentic__q
discriminative,mean_margin,Mean margin (gold - degraded),True,baseline,198,0.26505373500679746,0.22236324024703225,0.30624816552126416,0.021598207192435492,198,-0.028736775486761054,-0.05139265368734957,-0.005979601435120692,0.012898710128987101,0.29379051049355853,0.25451304545523545,0.33120982456766,0.019442409640814114,198,,,,,0.3358256581187733,0.29871136695792055,0.37160850084556996,0.018697184313960592,198,0.042035147625214826,0.019032899716311714,0.06540733668575852,0.00039996000399960006,0.4321434309410768,0.3973439050029843,0.46540773286403164,0.017113616531937124,198,0.13835292044751826,0.11405971467868488,0.16254900542929013,9.999000099990002e-05,0.027640093133543788,0.0010908000109080003,0.0001304217404346522
discriminative,min_margin,Min margin over degradations,True,baseline,198,-0.11061731910455347,-0.15891108669631382,-0.06540432507211069,0.023833153729339054,198,-0.047482175227702095,-0.07489688557940043,-0.02019441315683844,0.0006999300069993001,-0.06313514387685137,-0.1061816166407937,-0.022997797655789146,0.021208669898668035,198,,,,,-0.013712795983301997,-0.050313595787221985,0.020674377997763893,0.018031799554914588,198,0.049422347893549386,0.022458145341785432,0.07719281817207566,0.0005999400059994001,0.04481908775360622,0.009431676520418944,0.07876560869805833,0.017485125443764096,198,0.1079542316304576,0.07762782823216482,0.13985171479299377,9.999000099990002e-05,0.0029997000299970002,0.0014998500149985001,0.0001304217404346522
discriminative,rank_acc,Pairwise ranking accuracy,True,baseline,198,0.7454184704184705,0.7222402597402597,0.7676952561327562,0.011535171770380702,198,-0.017857142857142856,-0.034975198412698416,-0.0007210497835497799,0.04129587041295871,0.7632756132756133,0.7414136904761905,0.7844164862914861,0.010988790958344855,198,,,,,0.7758838383838383,0.755916305916306,0.7956714466089466,0.01003162604279996,198,0.01260822510822511,-0.00440205627705627,0.030014880952380956,0.1523847615238476,0.8100649350649349,0.793416305916306,0.8264790764790765,0.008419678474544879,198,0.0467893217893218,0.030608766233766238,0.06356511544011544,9.999000099990002e-05,0.0724927507249275,0.19048095190480951,0.0001304217404346522
discriminative,auc_good_vs_bad,AUC (good vs bad),True,baseline,198,0.7473695286195285,0.7154855850168348,0.7784090909090909,0.016166097933507467,198,-0.04145622895622896,-0.06663948512906848,-0.015922243265993282,0.0015998400159984002,0.7888257575757576,0.7584517045454544,0.8186035704264871,0.015374207147644411,198,,,,,0.8051346801346803,0.7761994949494949,0.8327020202020202,0.014473162213533867,198,0.016308922558922554,-0.008312289562289564,0.04100115740740739,0.20077992200779923,0.8533249158249159,0.829124579124579,0.8760521885521886,0.011944910024121515,198,0.06449915824915824,0.04170086279461279,0.08778847502805834,9.999000099990002e-05,0.004363200043632001,0.2316691407782299,0.0001304217404346522
discriminative,auc_gold_vs_degraded,AUC (gold vs all degraded),True,baseline,198,0.7851010101010102,0.7457891414141414,0.8234006734006732,0.019680189635530886,198,-0.03594276094276094,-0.05799663299663299,-0.013636363636363641,0.0015998400159984002,0.821043771043771,0.7843434343434345,0.8562310606060607,0.018182998721636933,198,,,,,0.8391414141414143,0.8060585016835018,0.8707912457912459,0.016614923412198685,198,0.018097643097643095,-0.005723905723905729,0.04175084175084175,0.1471852814718528,0.879040404040404,0.8511763468013467,0.9056397306397306,0.013835489439755646,198,0.05799663299663299,0.034257154882154875,0.08324915824915825,9.999000099990002e-05,0.004363200043632001,0.19048095190480951,0.0001304217404346522
discriminative,score_range,Score dynamic range (max-min),True,baseline,198,0.7901347249763577,0.7634761530283182,0.8158710084412906,0.013359783268135663,198,0.044172369152542405,0.018341983417384845,0.07006723636336702,0.0014998500149985001,0.7459623558238152,0.718271007808027,0.772723612694122,0.013853519680001845,198,,,,,0.7403783775006475,0.7072449764086136,0.7725264935686452,0.016771777814474417,198,-0.0055839783231677285,-0.03362745047074493,0.02279288363856999,0.7024297570242976,0.8373165877475213,0.8096785489458834,0.8643964649982945,0.013996307472673284,198,0.09135423192370601,0.06324154778013603,0.11870193627645705,9.999000099990002e-05,0.004363200043632001,0.7024297570242976,0.0001304217404346522
discriminative,score_std,Score std across variants,True,baseline,198,0.2830586088281615,0.2725576888668649,0.2938115684863868,0.005390904767739843,198,0.01401956277906727,0.004444115564845102,0.023597061323128547,0.0058994100589941,0.26903904604909423,0.25802353807950773,0.279644785066038,0.005453435044785202,198,,,,,0.26689408753621285,0.25471571798222054,0.2788018377675304,0.006166833188806658,198,-0.002144958512881367,-0.012533961758250813,0.008357035900387545,0.6908309169083092,0.30507321502588114,0.2943313471965379,0.31572613714326725,0.005403203202072751,198,0.036034168976786886,0.024528476568059104,0.047024212454156895,9.999000099990002e-05,0.014748525147485252,0.7024297570242976,0.0001304217404346522
discriminative,saturation_rate,Saturation (degraded scoring >=0.8),False,baseline,198,0.11734006734006734,0.09679713804713803,0.13872053872053872,0.010717449455484472,198,0.0026936026936026976,-0.01835016835016835,0.023232323232323236,0.8094190580941906,0.11464646464646465,0.09478114478114477,0.13552188552188552,0.010368236568297376,198,,,,,0.08080808080808081,0.0632996632996633,0.09966329966329965,0.009394511421813348,198,-0.03383838383838384,-0.054882154882154886,-0.012626262626262626,0.0014998500149985001,0.13905723905723905,0.11801346801346801,0.1612794612794613,0.01105034256581398,198,0.02441077441077441,-0.0001683501683501676,0.04966329966329966,0.060193980601939805,0.8373300600974385,0.0029997000299970002,0.06945459300223823
discriminative,score__gold,Score: gold,,baseline,198,0.6493362541743274,0.6024035216459885,0.696171397825692,0.024110255140356033,198,-0.031244191248688827,-0.057403299015615264,-0.004600102245360574,0.0206979302069793,0.6805804454230161,0.6316185222929955,0.7278306501342917,0.02434462455652001,198,,,,,0.6693415555787681,0.6228614486822489,0.7147392116746368,0.023815169446283747,198,-0.011238889844248052,-0.037683044836808136,0.01602112709275194,0.40575942405759424,0.8251030610736242,0.7857676117536063,0.8618442403503463,0.019382385378029828,198,0.144522615650608,0.1138792966371055,0.17636903592229003,9.999000099990002e-05,0.03880861913808619,0.43474224006170814,0.0001304217404346522
discriminative,score__verbose_empty,Score: verbose-but-empty (hack probe),False,baseline,197,0.3433591781164326,0.31019658261142846,0.377212930946119,0.017050251624217267,198,0.049023654045092166,0.019225411939156223,0.07853134055922037,0.0013998600139986002,0.2949134478347674,0.2640595284695969,0.32616199650775557,0.01581512903145727,197,,,,,0.2246313847312479,0.19687482048248586,0.2537571270617911,0.014564596401753773,198,-0.06914180226732028,-0.1017081094919484,-0.03663169899945082,0.00019998000199980003,0.23468078133222817,0.20595850616588357,0.2649051965685161,0.014896213666397685,198,-0.060359871976691674,-0.09067875047417163,-0.030526286655475292,9.999000099990002e-05,0.004363200043632001,0.0005999400059994002,0.0001304217404346522
discriminative,margin__verbose_empty,Margin vs verbose-but-empty,True,baseline,197,0.3059770760578947,0.23864585478153935,0.370608542336961,0.03365442175043246,198,-0.08042644524935809,-0.11990285161044421,-0.04095766398822843,9.999000099990002e-05,0.38404557852948235,0.32386405033570087,0.44390354320315195,0.03066906048116114,197,,,,,0.4447101708475201,0.39027042219608843,0.4984394065668565,0.02777067907506676,198,0.05784586222081717,0.019445372447540698,0.09612773061792396,0.0023997600239976003,0.5904222797413959,0.5402383719550605,0.6381803077269673,0.025037302222611645,198,0.20561610496562763,0.169382176224617,0.24188016432691212,9.999000099990002e-05,0.0005999400059994002,0.0044995500449955,0.0001304217404346522
discriminative,score__right_method_wrong_answer,Score: confidently wrong,False,baseline,198,0.5048535680439658,0.470356481587873,0.5397817506907748,0.017706051972873886,198,0.01961668900652629,-0.01081197598767982,0.04922034600829834,0.20837916208379162,0.48523687903743956,0.4517471648633444,0.5196795634029792,0.01739322881318923,198,,,,,0.4327102364714831,0.3956433762432137,0.47074007646134325,0.019200111419641293,198,-0.052526642565956363,-0.08202555209447038,-0.022483728967517068,0.0008999100089991,0.46584969036458423,0.4296527730166483,0.5036992753344028,0.018810155916564812,198,-0.019387188672855285,-0.051863123275413085,0.01410434743909652,0.24707529247075294,0.27179890706581517,0.0020767154053825385,0.24707529247075294
discriminative,margin__right_method_wrong_answer,Margin vs confidently wrong,True,baseline,198,0.14448268613036155,0.09055132082514022,0.19738524309827093,0.027209576229922088,198,-0.05086088025521511,-0.08695144025146086,-0.01386612214139741,0.006899310068993101,0.1953435663855766,0.14185931015579262,0.24662590125948786,0.02662206727764972,198,,,,,0.23663131910728505,0.1856324810497178,0.2847461851337709,0.02538893578722797,198,0.041287752721708315,0.006710008376790167,0.07567672516605983,0.022797720227977204,0.3592533707090399,0.309447688618309,0.407413035226353,0.024954446848648434,198,0.16390980432346328,0.125399915538189,0.2031299948478746,9.999000099990002e-05,0.015921484774599464,0.03419658034196581,0.0001304217404346522
discriminative,score__off_topic,Score: off-topic,False,baseline,197,0.044215395266832595,0.031684760650947746,0.05838806005600138,0.006884133561982281,198,-0.03692447524757464,-0.0570638904461521,-0.01604090477078296,0.00039996000399960006,0.08136431414520334,0.06615818834544804,0.09743038334722733,0.00789260540130419,197,,,,,0.027306066368490003,0.01720709771644421,0.0381340905967007,0.005321769381165286,198,-0.05391963830276162,-0.07072674725821339,-0.037917520604833256,9.999000099990002e-05,0.062202816813648594,0.046973624231725235,0.07886234608372605,0.008164179900599278,198,-0.018845746992399177,-0.041902632771033003,0.00430830262482938,0.1110888911108889,0.0019998000199980006,0.0003333000033330001,0.11491954252850577
discriminative,margin__off_topic,Margin vs off-topic,True,baseline,197,0.6051208589074947,0.5574543481308274,0.6528976131385573,0.024444674671078408,198,0.005703939146451609,-0.023225830928594923,0.034160723301130076,0.6943305669433056,0.6010845599347824,0.5565115502273379,0.644566089560208,0.022314348008924192,197,,,,,0.642035489210278,0.5971966079964105,0.6864065223502415,0.023007696696651727,198,0.04072014495676612,0.012444249136577617,0.06912877185106017,0.004199580041995801,0.7629002442599755,0.7212895203470648,0.8028527105201418,0.02072429849464581,198,0.16271260487193553,0.13538633388050703,0.19042903777884793,9.999000099990002e-05,0.7439256074392561,0.0071659500716595,0.0001304217404346522
