family,metric,label,higher_is_better,reference,domain,sources_in_cohort,n_paired,shipped__mean,shipped__marginal_mean,shipped__ci_low,shipped__ci_high,shipped__se,shipped__n,shipped__diff_vs_ref,shipped__diff_ci_low,shipped__diff_ci_high,shipped__p,baseline__mean,baseline__marginal_mean,baseline__ci_low,baseline__ci_high,baseline__se,baseline__n,baseline__diff_vs_ref,baseline__diff_ci_low,baseline__diff_ci_high,baseline__p,agentic__mean,agentic__marginal_mean,agentic__ci_low,agentic__ci_high,agentic__se,agentic__n,agentic__diff_vs_ref,agentic__diff_ci_low,agentic__diff_ci_high,agentic__p,agentic-tools__mean,agentic-tools__marginal_mean,agentic-tools__ci_low,agentic-tools__ci_high,agentic-tools__se,agentic-tools__n,agentic-tools__diff_vs_ref,agentic-tools__diff_ci_low,agentic-tools__diff_ci_high,agentic-tools__p,shipped__q,shipped__fdr_family_n,agentic__q,agentic__fdr_family_n,agentic-tools__q,agentic-tools__fdr_family_n
grounding,generic_criterion_rate,Generic criterion rate,False,baseline,all,"['shipped', 'baseline', 'agentic', 'agentic-tools']",128,0.19921150897713397,0.19921150897713397,0.17336831842202935,0.22668651931835523,0.013613733193659902,128,0.010719942205466095,-0.02273656496944641,0.04195704061053322,0.5205479452054794,0.18849156677166787,0.18849156677166787,0.15526713232322722,0.224130340640135,0.017766804712433495,128,,,,,0.07917315973956598,0.07917315973956598,0.05398966512003621,0.10774260163664459,0.01376883173592724,128,-0.1093184070321019,-0.13572939948442594,-0.0837426047961434,9.999000099990002e-05,0.07833109815531691,0.07833109815531691,0.054403062757554944,0.10538207641967406,0.012957991297740607,128,-0.11016046861635097,-0.13867928757950587,-0.08203450732848136,9.999000099990002e-05,0.7314191657757301,18,0.00017998200179982003,18,0.00017998200179982003,18
grounding,generic_rate_permuted,…permutation control,,baseline,all,"['shipped', 'baseline', 'agentic', 'agentic-tools']",128,0.9756945528429903,0.9756945528429903,0.962438883815837,0.9869925609329906,0.006278212711152448,128,0.01061544792013542,-0.0029866867073898348,0.025276940941003436,0.14878512148785122,0.965079104922855,0.965079104922855,0.947006364945818,0.9805044049917098,0.008594139351818105,128,,,,,0.9671688012508326,0.9671688012508326,0.9498026981156864,0.981454716344853,0.008081026481313779,128,0.0020896963279775777,-0.01023187072259338,0.013630883005883002,0.7416258374162584,0.9660675912629038,0.9660675912629038,0.9507912746975247,0.9791495662540585,0.007194425306816873,128,0.0009884863400488396,-0.012242504674145302,0.013347015397796648,0.8843115688431157,0.26781321867813224,18,0.7852508866760383,18,1.0,18
grounding,weight_mass_on_generic_paper,Reward mass on generic criteria,False,baseline,all,"['shipped', 'baseline', 'agentic', 'agentic-tools']",128,0.14979150290979315,0.14979150290979315,0.12648031421028666,0.1752064610526987,0.01247685524503766,128,-0.009968558420682488,-0.041393158906088405,0.019200791345563253,0.5282471752824718,0.15976006133047563,0.15976006133047563,0.12694075637120755,0.19501031329117505,0.017558094686468222,128,,,,,0.07320627499608795,0.07320627499608795,0.04902476959403033,0.10069908110523147,0.013285779017446767,128,-0.08655378633438768,-0.1141579794126085,-0.061444494941563246,9.999000099990002e-05,0.07811209110658215,0.07811209110658215,0.05291186062007043,0.10691586332873534,0.0137705703940123,128,-0.08164797022389349,-0.11127644189204691,-0.053761313582484434,9.999000099990002e-05,0.7314191657757301,18,0.00017998200179982003,18,0.00017998200179982003,18
grounding,mean_anchors_per_criterion,Anchors per criterion,True,baseline,all,"['shipped', 'baseline', 'agentic', 'agentic-tools']",128,2.179238036269286,2.179238036269286,2.012499094330149,2.354296266884157,0.0865099518615866,128,-0.1314661071669344,-0.26975647409040104,0.004891162025525461,0.06189381061893811,2.3107041434362205,2.3107041434362205,2.108259956731636,2.5136103310560456,0.10360310556621481,128,,,,,3.033813918286574,3.033813918286574,2.7984643364990043,3.2654416628293577,0.12064805129542559,128,0.7231097748503539,0.577125101429157,0.8762963883128462,9.999000099990002e-05,2.9457979520479523,2.9457979520479523,2.7084073616812874,3.1801235461587023,0.1204457023186899,128,0.6350938086117314,0.49423634939662053,0.776792628184086,9.999000099990002e-05,0.12378762123787622,18,0.00017998200179982003,18,0.00017998200179982003,18
grounding,weak_grounding_rate,Weakly grounded (<2 anchors),False,baseline,all,"['shipped', 'baseline', 'agentic', 'agentic-tools']",128,0.40756671713702963,0.40756671713702963,0.3677620366829351,0.4487531283820346,0.020693344254423235,128,0.004978641915682355,-0.033383110264429194,0.04247386077464199,0.7996200379962004,0.4025880752213473,0.4025880752213473,0.35725616655734993,0.4492194806061993,0.023645234711121434,128,,,,,0.2642997735771173,0.2642997735771173,0.21905990385482574,0.31334407237727546,0.024095331375376058,128,-0.13828830164422995,-0.17468247993581174,-0.1014436839712575,9.999000099990002e-05,0.25458081415112666,0.25458081415112666,0.21206153628272773,0.29997533472386995,0.02263961871546986,128,-0.1480072610702206,-0.1812341705603424,-0.11468152470550794,9.999000099990002e-05,0.9595440455954406,18,0.00017998200179982003,18,0.00017998200179982003,18
grounding,recyclable_rate,Recyclable criterion rate,False,baseline,all,"['shipped', 'baseline', 'agentic', 'agentic-tools']",128,0.011514136904761905,0.011514136904761905,0.0058343408978174605,0.017844742063492063,0.003072430805395932,128,-0.002226224296536796,-0.011300582555465368,0.006718587944173875,0.6439356064393561,0.0137403612012987,0.0137403612012987,0.006839234983766234,0.02131449117288961,0.003719147873137295,128,,,,,0.0,0.0,0.0,0.0,0.0,128,-0.0137403612012987,-0.021335734577922077,-0.006975446428571428,0.00029997000299970003,0.0,0.0,0.0,0.0,0.0,128,-0.0137403612012987,-0.021335734577922077,-0.006975446428571428,0.00029997000299970003,0.8279172082791721,18,0.00044995500449955,18,0.0004908600049086001,18
grounding,subjective_or_style_rate,Subjective/style criterion rate,False,baseline,all,"['shipped', 'baseline', 'agentic', 'agentic-tools']",128,0.3386086136086136,0.3386086136086136,0.3059401882839382,0.3739023503623113,0.017405450434239394,128,0.141967520454423,0.10610880250902079,0.17776331337869133,9.999000099990002e-05,0.1966410931541906,0.1966410931541906,0.16225562499502644,0.2339030151642169,0.01837130147445916,128,,,,,0.07332799578893329,0.07332799578893329,0.04930099414474415,0.10084953078605421,0.013158798056894924,128,-0.1233130973652573,-0.15224971316150657,-0.09454749175265605,9.999000099990002e-05,0.060018421248889994,0.060018421248889994,0.037967091773244116,0.08456419340208403,0.011989745831476195,128,-0.13662267190530059,-0.16351222213052982,-0.1104376447503171,9.999000099990002e-05,0.00035996400359964006,18,0.00017998200179982003,18,0.00017998200179982003,18
grounding,weight_mass_on_subjective,Reward mass on subjective criteria,False,baseline,all,"['shipped', 'baseline', 'agentic', 'agentic-tools']",128,0.32944357540121993,0.32944357540121993,0.29282549572764804,0.3688898198685383,0.01953846083824446,128,0.14945585278884568,0.10940300806202947,0.1895621971096367,9.999000099990002e-05,0.17998772261237428,0.17998772261237428,0.14301989679240965,0.22019983122062292,0.019669769322125098,128,,,,,0.07395829032021561,0.07395829032021561,0.04976004467775764,0.10121568629827209,0.013207913114001395,128,-0.10602943229215868,-0.13708985135969862,-0.07589326769685996,9.999000099990002e-05,0.05828762083225565,0.05828762083225565,0.036547732600926496,0.08243560983853501,0.011878113779565784,128,-0.12170010178011863,-0.15022339207723215,-0.09397746979001162,9.999000099990002e-05,0.00035996400359964006,18,0.00017998200179982003,18,0.00017998200179982003,18
grounding,specificity_lift,Specificity lift vs permuted,True,baseline,all,"['shipped', 'baseline', 'agentic', 'agentic-tools']",128,0.7764830438658564,0.7764830438658564,0.7471261583468614,0.8037936352926589,0.014390997217403266,128,-0.0001044942853306802,-0.03284136002886003,0.0345871245884171,0.9958004199580042,0.7765875381511871,0.7765875381511871,0.739276813904284,0.8114491350631344,0.01857505882533509,128,,,,,0.8879956415112665,0.8879956415112665,0.8563116503179979,0.9164846012819645,0.015386161802448842,128,0.11140810336007946,0.08223635315231133,0.14101127605033853,9.999000099990002e-05,0.8877364931075868,0.8877364931075868,0.8569497627481026,0.9151875080756916,0.014872672912832363,128,0.11114895495639979,0.08212233623007406,0.140417049600471,9.999000099990002e-05,1.0,18,0.00017998200179982003,18,0.00017998200179982003,18
lint,compliance_rate,RaR prompt compliance rate,True,baseline,all,"['shipped', 'baseline', 'agentic', 'agentic-tools']",128,0.8958049762737263,0.8958049762737263,0.8729965726547758,0.9173753649779042,0.011308430080398712,128,-0.002117348797036296,-0.02817577279491343,0.023367927103278664,0.8754124587541245,0.8979223250707626,0.8979223250707626,0.878298449055285,0.9176494133037102,0.010024293732815215,128,,,,,0.6749116009858197,0.6749116009858197,0.6350973876926025,0.7146714239536506,0.020398618547753596,128,-0.22301072408494285,-0.2609437039197781,-0.18551443538015808,9.999000099990002e-05,0.7354241786858975,0.7354241786858975,0.697962265327988,0.772903429307238,0.018997934232365104,128,-0.16249814638486515,-0.198156902505047,-0.12817819712839246,9.999000099990002e-05,0.9848390160983901,18,0.00017998200179982003,18,0.00017998200179982003,18
